Data Log 1,
No.,Time Stamp,Ep_Imp [kWh],Ep_Exp [kWh],Eq_Imp [kvarh],Eq_Exp [kvarh],
4679,2025-12-09 00:14:00 ,38193.3 ,9953.4 ,3.3 ,54327.1 ,
4680,2025-12-09 00:15:00 ,38193.6 ,9953.4 ,3.3 ,54327.5 ,
4681,2025-12-09 00:16:00 ,38193.9 ,9953.4 ,3.3 ,54327.8 ,
4682,2025-12-09 00:17:00 ,38194.2 ,9953.4 ,3.3 ,54328.2 ,
4683,2025-12-09 00:18:00 ,38194.5 ,9953.4 ,3.3 ,54328.5 ,
4684,2025-12-09 00:19:00 ,38194.7 ,9953.4 ,3.3 ,54328.9 ,
4685,2025-12-09 00:20:00 ,38195.0 ,9953.4 ,3.3 ,54329.3 ,
4686,2025-12-09 00:21:00 ,38195.3 ,9953.4 ,3.3 ,54329.7 ,
4687,2025-12-09 00:22:00 ,38195.6 ,9953.4 ,3.3 ,54330.0 ,
4688,2025-12-09 00:23:00 ,38195.9 ,9953.4 ,3.3 ,54330.4 ,
4689,2025-12-09 00:24:00 ,38196.2 ,9953.4 ,3.3 ,54330.7 ,
4690,2025-12-09 00:25:00 ,38196.5 ,9953.4 ,3.3 ,54331.1 ,
4691,2025-12-09 00:26:00 ,38196.7 ,9953.4 ,3.3 ,54331.5 ,
4692,2025-12-09 00:27:00 ,38197.0 ,9953.4 ,3.3 ,54331.8 ,
4693,2025-12-09 00:28:00 ,38197.3 ,9953.4 ,3.3 ,54332.2 ,
4694,2025-12-09 00:29:00 ,38197.6 ,9953.4 ,3.3 ,54332.6 ,
4695,2025-12-09 00:30:00 ,38197.9 ,9953.4 ,3.3 ,54332.9 ,
4696,2025-12-09 00:31:00 ,38198.2 ,9953.4 ,3.3 ,54333.3 ,
4697,2025-12-09 00:32:00 ,38198.5 ,9953.4 ,3.3 ,54333.6 ,
4698,2025-12-09 00:33:00 ,38198.7 ,9953.4 ,3.3 ,54334.0 ,
4699,2025-12-09 00:34:00 ,38199.0 ,9953.4 ,3.3 ,54334.4 ,
4700,2025-12-09 00:35:00 ,38199.3 ,9953.4 ,3.3 ,54334.7 ,
4701,2025-12-09 00:36:00 ,38199.6 ,9953.4 ,3.3 ,54335.1 ,
4702,2025-12-09 00:37:00 ,38199.9 ,9953.4 ,3.3 ,54335.5 ,
4703,2025-12-09 00:38:00 ,38200.2 ,9953.4 ,3.3 ,54335.8 ,
4704,2025-12-09 00:39:00 ,38200.5 ,9953.4 ,3.3 ,54336.2 ,
4705,2025-12-09 00:40:00 ,38200.7 ,9953.4 ,3.3 ,54336.6 ,
4706,2025-12-09 00:41:00 ,38201.0 ,9953.4 ,3.3 ,54336.9 ,
4707,2025-12-09 00:42:00 ,38201.3 ,9953.4 ,3.3 ,54337.3 ,
4708,2025-12-09 00:43:00 ,38201.6 ,9953.4 ,3.3 ,54337.7 ,
4709,2025-12-09 00:44:00 ,38201.9 ,9953.4 ,3.3 ,54338.0 ,
4710,2025-12-09 00:45:00 ,38202.2 ,9953.4 ,3.3 ,54338.4 ,
4711,2025-12-09 00:46:00 ,38202.4 ,9953.4 ,3.3 ,54338.7 ,
4712,2025-12-09 00:47:00 ,38202.7 ,9953.4 ,3.3 ,54339.1 ,
4713,2025-12-09 00:48:00 ,38203.0 ,9953.4 ,3.3 ,54339.5 ,
4714,2025-12-09 00:49:00 ,38203.3 ,9953.4 ,3.3 ,54339.8 ,
4715,2025-12-09 00:50:00 ,38203.6 ,9953.4 ,3.3 ,54340.2 ,
4716,2025-12-09 00:51:00 ,38203.9 ,9953.4 ,3.3 ,54340.5 ,
4717,2025-12-09 00:52:00 ,38204.2 ,9953.4 ,3.3 ,54340.9 ,
4718,2025-12-09 00:53:00 ,38204.4 ,9953.4 ,3.3 ,54341.2 ,
4719,2025-12-09 00:54:00 ,38204.7 ,9953.4 ,3.3 ,54341.6 ,
4720,2025-12-09 00:55:00 ,38205.0 ,9953.4 ,3.3 ,54342.0 ,
4721,2025-12-09 00:56:00 ,38205.3 ,9953.4 ,3.3 ,54342.3 ,
4722,2025-12-09 00:57:00 ,38205.6 ,9953.4 ,3.3 ,54342.7 ,
4723,2025-12-09 00:58:00 ,38205.9 ,9953.4 ,3.3 ,54343.1 ,
4724,2025-12-09 00:59:00 ,38206.1 ,9953.4 ,3.3 ,54343.4 ,
4725,2025-12-09 01:00:00 ,38206.4 ,9953.4 ,3.3 ,54343.8 ,
4726,2025-12-09 01:01:00 ,38206.7 ,9953.4 ,3.3 ,54344.2 ,
4727,2025-12-09 01:02:00 ,38207.0 ,9953.4 ,3.3 ,54344.5 ,
4728,2025-12-09 01:03:00 ,38207.3 ,9953.4 ,3.3 ,54344.9 ,

